position_type,company_type,hashedid,,,,,,,,,,,,,
engineer,supplychain_manufacturing,28852be1eecba434a803819a7a56cabd61065a9b,,,,,,,,,,,,,
executive_or_management,misc,e157078ac59e87099d8a6c9b729d86249f88b6d9,,,,,,,,,,,,,
executive_or_management,supplychain_manufacturing,32d7338611b6e24d57201c7799d65e68373a2c28,,,,,,,,,,,,,
marketing_sales,misc,d8111200a505629c005a6bcc605fd500756bfef9,,,,,,,,,,,,,
misc,consulting,3d25ae948d7cee6f5b4f3340a0585173b5ef0bf3,,,,,,,,,,,,,
engineer,tech,3770702c423b0ab30964097b01b84b6ae3d5cd02,,,,,,,,,,,,,
engineer,tech,4dfd8addb62cd145c80ab963e9348587cd8d0eb8,,,,,,,,,,,,,
executive_or_management,tech,a6ab836f2b69c8e2771501e4ee9ca559c0203233,,,,,,,,,,,,,
misc,misc,711e31d13d23c0dd205a474488036363079bd337,,,,,,,,,,,,,
executive_or_management,nonprofit_ngo,98f4d7cbc7bab723f9e03bd2a0706a09821dc21c,,,,,,,,,,,,,
executive_or_management,supplychain_manufacturing,4acb45494d9593a2be205c29c957f5ee925d9715,,,,,,,,,,,,,
engineer,supplychain_manufacturing,5c698f302be4921f2b0088f7f09590cadffb0ab5,,,,,,,,,,,,,
executive_or_management,education,8914d01609d7a9e03e49bb59c3657583680fc773,,,,,,,,,,,,,
finance,tech,375201673464b7bf4a7a7b0121e94631e085ad55,,,,,,,,,,,,,
misc,consulting,c65d48cb19ae3e50ab5fe6f01c3a03457883cedd,,,,,,,,,,,,,
misc,tech,7efff9a0eb94263c954155206d4fa5e8434cdcd3,,,,,,,,,,,,,
marketing_sales,misc,eefeaa236116cd99e1c2517f5d8aedd437242bed,,,,,,,,,,,,,
engineer,tech,ad63f970d01947ce1b2a9a14c92103c4252a0e86,,,,,,,,,,,,,
engineer,tech,0c3ce966631f53d17213530e29ade21be76c708d,,,,,,,,,,,,,
finance,finance,6173b8b4667bc9e602343487d1eb0bc92c2d9f4f,,,,,,,,,,,,,
engineer,misc,07f15d942762bb1424808b8ed7f49aa81e697a6a,,,,,,,,,,,,,
marketing_sales,supplychain_manufacturing,1bca572048bf17eb04c2ace3579e56cf199d3a48,,,,,,,,,,,,,
marketing_sales,tech,0b00ad563ca9bbea9713364c4add72f0a3f97687,,,,,,,,,,,,,
misc,tech,135207aa754c14b24732b6e82655f3990c382356,,,,,,,,,,,,,
executive_or_management,consulting,9409dcd7038b54b0fb37559697269e15a18ae865,,,,,,,,,,,,,
legal,legal,60bfe1ea05843008015d0f057170ff22e9d9fc39,,,,,,,,,,,,,
marketing_sales,finance,1e48d7ead2d7524ddf6bf4f0c4d5d5436ec6b4e7,,,,,,,,,,,,,
engineer,tech,38cf8967515d1d92afbac9cdf2b775ac8847769e,,,,,,,,,,,,,
executive_or_management,consulting,ffab7279692b41b82db04aab85f7ad8a955bd8ec,,,,,,,,,,,,,
misc,misc,55ce99d432bd4ec063534675402258bd1af23413,,,,,,,,,,,,,
executive_or_management,tech,3576efd3b6c72a6328dbe02ae303cdf6affa9768,,,,,,,,,,,,,
executive_or_management,finance,06142dd0318c067bbe326b408382ebffdc3fe6c0,,,,,,,,,,,,,
executive_or_management,tech,367d889d767fb6841a58f5cf0bd70898ad2c71a4,,,,,,,,,,,,,
executive_or_management,misc,5d4edd8140541245df655f4d8a4e61fa1d3f8d63,,,,,,,,,,,,,
operations_supplychain,tech,41fb1a2fde01561c058cc85fcf1396c7360440f5,,,,,,,,,,,,,
misc,misc,0ccf716b276544942ebc8243bdf41f1fb6b85eaa,,,,,,,,,,,,,
misc,tech,2e0a82a03a6a2a8661426adeaf037319e35832c7,,,,,,,,,,,,,
executive_or_management,misc,b5891523880ae170050dcb2ebb65e96d62f6b767,,,,,,,,,,,,,
marketing_sales,misc,d7e7cb627bc64b152cd5e033839dba6396b41f61,,,,,,,,,,,,,
executive_or_management,consulting,4270c762679d4cbf2050048bf0949882aa8eced2,,,,,,,,,,,,,
executive_or_management,tech,e984e1037576688d569d82f862eb3c5d70f3a82e,,,,,,,,,,,,,
executive_or_management,nonprofit_ngo,5f2b9391e30c46c8ad7d7372eacd036650172ca6,,,,,,,,,,,,,
marketing_sales,consulting,0a1d82fb513f78593993b06345132e05366650a5,,,,,,,,,,,,,
engineer,nonprofit_ngo,c7178846093564c29afb5442d1d764ff2979d1fc,,,,,,,,,,,,,
finance,nonprofit_ngo,3242d9f120b7eff89e480bd914a59dc8ecffd470,,,,,,,,,,,,,
executive_or_management,nonprofit_ngo,27a36cc3d1043d572a29a5067f818a426ecdde9a,,,,,,,,,,,,,
executive_or_management,finance,074787cf798fac934c113c07e1fe20106491b532,,,,,,,,,,,,,
misc,tech,598ebc0c80bb29a4fa7e498611b4f01527c03c64,,,,,,,,,,,,,
misc,finance,bd75469922b5beb3565e518c9f9fc007341c8e10,,,,,,,,,,,,,
executive_or_management,tech,1d8c1ba223a06b94f571cd3c8a2c93d12e2ec638,,,,,,,,,,,,,
misc,misc,d9588c5a7945b4ae0128c2fcd9d3e4063e34f229,,,,,,,,,,,,,
executive_or_management,misc,0260abbba7f6ba81a798fc8ee51b21d147e26941,,,,,,,,,,,,,
engineer,misc,652408524994b1de71fdcb4528f3d4237e684615,,,,,,,,,,,,,
engineer,tech,ca2b3441ab28c9753b900d7ff6ea8859fee53621,,,,,,,,,,,,,
executive_or_management,tech,9a52bebe0b462fbc1a86745e5bb1cf2c6361e803,,,,,,,,,,,,,
executive_or_management,tech,8ef8ac29dfb00ced9c20c10fea0c64b0d6b09b09,,,,,,,,,,,,,
executive_or_management,tech,ee91824c3a5894595eb7799e112f19ef3ff39ebb,,,,,,,,,,,,,
executive_or_management,tech,3b728434fe69d2b7dcc4bc56072813f96c61cc05,,,,,,,,,,,,,
engineer,tech,070b0d5d19a77ec7ed80891a77ee194e2fddacdb,,,,,,,,,,,,,
executive_or_management,tech,131e840479c73b6835c1a97872a436972fc142e5,,,,,,,,,,,,,
executive_or_management,misc,1ebe74afa156e7979c6ade5a75ced40974cb2287,,,,,,,,,,,,,
engineer,tech,63fcc259bd7871a98bf3fcd93387d2f9c2f76ac2,,,,,,,,,,,,,
executive_or_management,tech,e4005839c06e8a82a4eca4ec6f9bf448338bd881,,,,,,,,,,,,,
executive_or_management,consulting,bc534871c9cafdac467cfb20183b308c08884df4,,,,,,,,,,,,,
engineer,tech,4c5dc4604872ff493add251f36df445b81167e2c,,,,,,,,,,,,,
operations_supplychain,tech,a31695c6d4a826682749e7841168807b1904183b,,,,,,,,,,,,,
engineer,misc,b627a40b038b99d965c783a8f422ac7ab2da0ad0,,,,,,,,,,,,,
misc,tech,3319d9bfb2f5b3d9fa20ed5b409b2d2fd61c7576,,,,,,,,,,,,,
marketing_sales,tech,e9e1248cd736dedc1a56c5ec0364d0db711586a3,,,,,,,,,,,,,
engineer,tech,95d1e67dd45e36a79c3967bb5534bf33eb62165e,,,,,,,,,,,,,
misc,misc,76fe3be2a9943b061a91ae6b2ede63016057ad7f,,,,,,,,,,,,,
engineer,tech,e480ca45164a4956387a2d37056ab1a6dbb4db30,,,,,,,,,,,,,
misc,misc,e5f9a427f86e6724dff510715a5cd3622807082f,,,,,,,,,,,,,
executive_or_management,misc,b12cc9a4b18a82a7bb37a195a9965269979a506a,,,,,,,,,,,,,
executive_or_management,nonprofit_ngo,08e0ce83a6b37f2c388b43732b69ca7d211d0736,,,,,,,,,,,,,
marketing_sales,supplychain_manufacturing,b4f523745012146ab042ec67607f6e24eac5f091,,,,,,,,,,,,,
misc,consulting,49ffb5c2620e91d5b6e4262761b0521a3e5616ae,,,,,,,,,,,,,
misc,tech,b6dad198a7e5d29989aee17add478a0728e531c6,,,,,,,,,,,,,
marketing_sales,tech,cef88a0e103ec9c8896c4367cdad7b0461052616,,,,,,,,,,,,,
executive_or_management,consulting,a079cbd68c6f29d2f585b9055649a1d7dc85d750,,,,,,,,,,,,,
executive_or_management,consulting,3149752bc0827537682b7bd825e88d16553153a0,,,,,,,,,,,,,
executive_or_management,nonprofit_ngo,24668e07b09d5f2c65ca108c8db414486dab8840,,,,,,,,,,,,,
misc,Unknown,94c493ad55469b941ae42cffa1538531d9c979b5,,,,,,,,,,,,,
marketing_sales,tech,6a8b689dc2b5d7b2c1a6f3207d483e54b170ef22,,,,,,,,,,,,,
marketing_sales,tech,3eb44af2bee91cdf35540d1ca360f7d45a4d35f1,,,,,,,,,,,,,
executive_or_management,consulting,4edc9d0d3befe1356ff7fd167d32f045ac10908c,,,,,,,,,,,,,
executive_or_management,misc,fc616a2e0dd03516c68097debe44339f10ff0f12,,,,,,,,,,,,,
executive_or_management,tech,cb68177b70ec0c35aea6abc38d189942a5e7d04e,,,,,,,,,,,,,
executive_or_management,misc,51d796efc362319782209e2200aa99a3c5ac9279,,,,,,,,,,,,,
misc,tech,fc6a5704b7bce5835f74184c735fff6f7db73509,,,,,,,,,,,,,
executive_or_management,consulting,69ad0b00a118cc8833d4d3660ca8d8e219965e8b,,,,,,,,,,,,,
misc,Unknown,a45a5592eea9a0bbc1dcdcf6005e9707e7753826,,,,,,,,,,,,,
engineer,tech,d359f63104b4276b3c6e40f74284e876d9be6349,,,,,,,,,,,,,
engineer,tech,6f56bf22e33415ad7058a731ac3b24be4fdb70c1,,,,,,,,,,,,,
education,education,a1d766cdcc694394fccc8608b4580e8081afb3a6,,,,,,,,,,,,,
engineer,consulting,3cba97a22643a4911a7bf22025f1ea2b1d607bcf,,,,,,,,,,,,,
executive_or_management,consulting,cc59a6f221c2e814f81ba1ff0e7b96bf8d873b0e,,,,,,,,,,,,,
executive_or_management,tech,cfc2e9c755c133dfff56e6f2a7f9a071b29c007f,,,,,,,,,,,,,
operations_supplychain,consulting,a0d212c4f40577eefb008c3b6fa1a9f29c7d7e34,,,,,,,,,,,,,
misc,misc,f6f53ac4be9bfe9c546a57bd7dbe67f91e261a70,,,,,,,,,,,,,
marketing_sales,consulting,5dd40e6c6563fc23e98c42cd62bf4121076453f8,,,,,,,,,,,,,
executive_or_management,tech,520ff5b252b75548b54e121e2a9c1cb90f2a1051,,,,,,,,,,,,,
engineer,government,780620fad3d85ec5f06fc313c8d6adbc4beb3625,,,,,,,,,,,,,
misc,tech,c4c43d6dab214b6dde3db706e83be7c46cfac70d,,,,,,,,,,,,,
executive_or_management,tech,8f5d45d324d9e1968e55ec1df0453380a2e9e912,,,,,,,,,,,,,
engineer,misc,ea72294c6976ec5eabe2faa703d9c76d83f44b95,,,,,,,,,,,,,
executive_or_management,misc,9c36e910c3145185188e1548de929a3121b83806,,,,,,,,,,,,,
misc,misc,71b8873931526fb953ca8a9955ce5052389840f7,,,,,,,,,,,,,
marketing_sales,tech,4ba4bebfe7bf982ff100d2af93ba17b313ce9cbd,,,,,,,,,,,,,
executive_or_management,supplychain_manufacturing,e70d438b98572fd80eb567ac09145168160c569f,,,,,,,,,,,,,
executive_or_management,supplychain_manufacturing,82344edaa7d2613b7f9f0c3a24d1789ae67e9048,,,,,,,,,,,,,
marketing_sales,misc,7e672806eeb05648a64cb80c9772ea46e3007422,,,,,,,,,,,,,
engineer,supplychain_manufacturing,76191b62378fdbc74c70cee09d5f402f86ef95e7,,,,,,,,,,,,,
legal,legal,17022d776fea0e11c81a91173c11b7d39ae24a42,,,,,,,,,,,,,
misc,misc,a4843bfb23f3ef1f95cf6ffa147f2cd33d20c4a6,,,,,,,,,,,,,
misc,misc,13bc26d7a181cf90e503da7009c309b09192dc5f,,,,,,,,,,,,,
marketing_sales,tech,e283a48e564aa7dad30c144f7e44fa90b125f8d2,,,,,,,,,,,,,
executive_or_management,misc,20c82b5bd16e76af591bc843a4bfd4b347b6d308,,,,,,,,,,,,,
misc,education,d28dcf90970e60e541a94b6bb418d6fe4ab4e492,,,,,,,,,,,,,
executive_or_management,misc,e0ea789361ac23ce26a87fd3257b74ec974a0f19,,,,,,,,,,,,,
executive_or_management,tech,05e0fa23ada0a89b6efdfac62f1715a31163928e,,,,,,,,,,,,,
executive_or_management,misc,abbaf9b5e628db422149d6cf37d8fac180c0e064,,,,,,,,,,,,,
misc,tech,c30e511af6f05750e57026758e4adcf767492796,,,,,,,,,,,,,
executive_or_management,misc,208959647d829a8b273883454e54ad46f9644bb6,,,,,,,,,,,,,
executive_or_management,misc,378a8b113aed7ba5476bd2524f035a5aeed3a7f7,,,,,,,,,,,,,
engineer,tech,d836790362ba56a996ba6d5e12d32b82d9008d2a,,,,,,,,,,,,,
executive_or_management,tech,e1b4587b7de8ad5564f19b3165449f969b5da068,,,,,,,,,,,,,
executive_or_management,tech,8631ff5e8d3dacb062fd34d4b8bbdeaad13a62c5,,,,,,,,,,,,,
executive_or_management,tech,da63f76e84dbab3782bbd6d808e7615549d1766d,,,,,,,,,,,,,
engineer,tech,c8c079e889fdeff664f6bcdf90fbbdc0fa88e0a4,,,,,,,,,,,,,
education,education,f4fc7e869bbdb83abc1a8e9ef07ab73b1fe7b251,,,,,,,,,,,,,
executive_or_management,misc,bfb8cbd93acf5360a8b07b13098902e53c789214,,,,,,,,,,,,,
executive_or_management,nonprofit_ngo,dc08a5ecdd44c8b7a01d2561a5b4fd881ed5913a,,,,,,,,,,,,,
executive_or_management,misc,c5c34a9e40612371cc9e8ea25205fd02d618281c,,,,,,,,,,,,,
legal,supplychain_manufacturing,49ce2acdf0333e1984bcdcebd10cbc80c97b8401,,,,,,,,,,,,,
misc,tech,8c83ba668499439019191e674f3652091ef07cf7,,,,,,,,,,,,,
executive_or_management,tech,51b5578b184bb590789822c96fcf4f096af5db8d,,,,,,,,,,,,,
misc,misc,0d535d7240b96315302b4fd675d8d20c090ff683,,,,,,,,,,,,,
misc,tech,13f1ad2e3ec432692a8d65244fce57007ffd7993,,,,,,,,,,,,,
executive_or_management,misc,cc24e9ee31beec19a239948206ff98a050cb2e76,,,,,,,,,,,,,
executive_or_management,misc,cd01a957b9cd851063586241775e0cd3f9a68cab,,,,,,,,,,,,,
marketing_sales,finance,e7e071093f739d73e8a9b3df03e7684add4a3caa,,,,,,,,,,,,,
misc,tech,03e4c9e8593fd47ca6df56bb56b3d5993da24ab4,,,,,,,,,,,,,
misc,tech,00b03486ad608d322a9e594a67ec715005747b04,,,,,,,,,,,,,
operations_supplychain,tech,e7901d94ac776068edd51f0aa0c905862b692ea0,,,,,,,,,,,,,
marketing_sales,misc,935a7c97a9659e86ecd37af95a6ae1fe728f6463,,,,,,,,,,,,,
misc,misc,c359acf3622017f2facbbf2668ada43098611f6e,,,,,,,,,,,,,
executive_or_management,tech,5686fcac7fe2de009495ab6cb458c964d0358a54,,,,,,,,,,,,,
engineer,tech,24943c4151ef443da8dcf0c7141c604063e6f9ff,,,,,,,,,,,,,
executive_or_management,tech,d88aac4059c378476e058190af4ec24ad3fd1997,,,,,,,,,,,,,
executive_or_management,tech,b19c2e053ef45536b0e51a3906714ef0658c459f,,,,,,,,,,,,,
executive_or_management,tech,f64c4693d806781f2b6ee80a34b23b6771f738af,,,,,,,,,,,,,
misc,tech,1c3076a8426f92a36e0d3ed8a43c000400bc0d00,,,,,,,,,,,,,
misc,misc,84db1eca700f2113ed4a386cfaed03cdacbfff52,,,,,,,,,,,,,
executive_or_management,supplychain_manufacturing,14cfdd1aadd1eeb7fdc197056a595f12af6be2d6,,,,,,,,,,,,,
misc,misc,3251feb834f45060ad2fc33d5c82c94ca38d1eee,,,,,,,,,,,,,
executive_or_management,consulting,afbd4eee6c6bc55567380cb7b38b71c01c308d57,,,,,,,,,,,,,
executive_or_management,tech,83b6791b82d91ff3cde239028147e4af9ead21c4,,,,,,,,,,,,,
engineer,tech,a2b790c4c87f13cc0b6fbfdba8437a594cdeda8d,,,,,,,,,,,,,
marketing_sales,consulting,3785d9be8103cc12e5b3982299d32bd29dca2ce4,,,,,,,,,,,,,
operations_supplychain,supplychain_manufacturing,94ccf6e2108fa2d82b1f640af9a1a0f2a458250a,,,,,,,,,,,,,
executive_or_management,tech,4acd5b0c7d5e84d142a6e4a102a783cfd8931d1c,,,,,,,,,,,,,
executive_or_management,tech,50c4d5dfd405890fc113cd9f1e3d9e84bf564044,,,,,,,,,,,,,
marketing_sales,tech,e5a8a3729aa5c716de36ef3890cb67ee10bb822c,,,,,,,,,,,,,
operations_supplychain,misc,eee0635196a1ea98721749faf854797faa2728d4,,,,,,,,,,,,,
executive_or_management,finance,daa8d2e3a2a27a4003bb6db6e971335fcdf8e792,,,,,,,,,,,,,
executive_or_management,misc,ba44ccc4da0285c056badd810bff94003e5be142,,,,,,,,,,,,,
misc,tech,cfdf842e2b7264a6c7fd0441c7cfa622c6a61b2d,,,,,,,,,,,,,
marketing_sales,tech,ffdd8767db77f035e695cd41ce3e25c58a7f0756,,,,,,,,,,,,,
marketing_sales,supplychain_manufacturing,ac1bca020eb324c6feaf2907751baade94d5c210,,,,,,,,,,,,,
engineer,tech,6ec4e8e533e1a9a911afcac2fd827f970c3e9194,,,,,,,,,,,,,
executive_or_management,tech,9181de74b1cd65d6e32637f2ee0ff0af4f6aba81,,,,,,,,,,,,,
marketing_sales,tech,52efa4dded16d16daaf511e389f7dae920713374,,,,,,,,,,,,,
executive_or_management,tech,6492c0728a4f97c7b1fec94f6c54f37ac1fab9fe,,,,,,,,,,,,,
executive_or_management,finance,ce173d3c13962f152e3f3fc7ab0856130c1d75c1,,,,,,,,,,,,,
engineer,tech,6f49a513bbd55983f9ac2d39857437e2f65b4f65,,,,,,,,,,,,,
misc,tech,367238ead69fa17d2b65d9195bf0d02d337503d7,,,,,,,,,,,,,
finance,tech,43b17df0face11e27c2aeee2cb4a5300bb13875d,,,,,,,,,,,,,
executive_or_management,finance,73f0de72c12796c18361108227bd1f9a6a0016eb,,,,,,,,,,,,,
engineer,tech,e23a6d6be3ebd34da8f67321137e0a3346369ed7,,,,,,,,,,,,,
marketing_sales,consulting,4a7aa9910061e2497e688943cbeb9d1d0122a3f7,,,,,,,,,,,,,
education,education,e09ef17ff0ec944a0b2dd584981c344af99d0c43,,,,,,,,,,,,,
executive_or_management,misc,f56b67f6f04349f05fa2a3873cc963c9c37c84ba,,,,,,,,,,,,,
misc,misc,f59992cb31023617b60af563194827df8b40a7cb,,,,,,,,,,,,,
executive_or_management,education,41eb4f3f28c2037d30b8c05712454a8b851bcbab,,,,,,,,,,,,,
misc,finance,4b2d6d04f5d6a0ec10df9d37fbeb00552e2b1d06,,,,,,,,,,,,,
engineer,tech,358a30fe7f23f17b72aee8747e970ffd0c57d8e6,,,,,,,,,,,,,
misc,tech,4ce4a1961d412b853a3f8b8c8f55dbb39145d851,,,,,,,,,,,,,
executive_or_management,supplychain_manufacturing,8475acd72975b1d8b4eae5165482d551be2422c9,,,,,,,,,,,,,
executive_or_management,tech,d62ff5ce83cf5fc16bca629ccbc1a29165984685,,,,,,,,,,,,,
executive_or_management,supplychain_manufacturing,f2ba581ade25067ca4a31302eb125ff3331ec148,,,,,,,,,,,,,
executive_or_management,consulting,aa956f975c91196212c068981a4c94a346443e83,,,,,,,,,,,,,
Unknown,Unknown,c29bfe50559f0eb34ba1590ab88416554d4f1b89,,,,,,,,,,,,,
executive_or_management,misc,d98460ec4a8b5a55d5927b26951bfed0a326dd62,,,,,,,,,,,,,
executive_or_management,consulting,6a70f5202b167801e7bf51ca95526017cb040482,,,,,,,,,,,,,
engineer,tech,9ad308889d783e7c2a11dec355b302370c62f779,,,,,,,,,,,,,
engineer,tech,1623958160183fce2402c088ba97bb839cdb2289,,,,,,,,,,,,,
misc,tech,3286f6ec5b19a08d9c19c0896432860569d3659a,,,,,,,,,,,,,
executive_or_management,tech,b9b1a3ba5cc1a5aece76aa8a9e40b9add64c944a,,,,,,,,,,,,,
executive_or_management,tech,99619d158d04286da7e244196569a5a2391aaa07,,,,,,,,,,,,,
engineer,tech,c79602b11d0c05a52f7617fbf21ed27cb2ef21f1,,,,,,,,,,,,,
executive_or_management,nonprofit_ngo,a87637b2d2250fe6c6e1cc7872b3c82816e16ad7,,,,,,,,,,,,,
marketing_sales,tech,6b44bad468b9e40f4fb1ee933cc00b279c9b55e6,,,,,,,,,,,,,
executive_or_management,misc,dac4471de399b4f5d73ee26d6e50d0b2da6b04c5,,,,,,,,,,,,,
executive_or_management,consulting,e6721a6565fd557079057a4f966a5f4eca956dcf,,,,,,,,,,,,,
operations_supplychain,supplychain_manufacturing,febb39f0478e854976816254b88e04a000420e13,,,,,,,,,,,,,
misc,tech,c0537e7db9c8170b1d7ccc37b3f5a855add23e37,,,,,,,,,,,,,
executive_or_management,tech,05133fbc4926ac730bbad4f604933b3bb6fb7445,,,,,,,,,,,,,
executive_or_management,tech,b1a49b9bdb72375631dc08ed68d7a046784ca41b,,,,,,,,,,,,,
marketing_sales,supplychain_manufacturing,6c945a4371c423ffac0d52cb96b8113c2df034ce,,,,,,,,,,,,,
misc,consulting,5e642bcbf448a4cc5c4761caa018dbe441f2f5bb,,,,,,,,,,,,,
executive_or_management,misc,02ee666b8b7f64b3d6ec6be7a6d750bfac29592b,,,,,,,,,,,,,
executive_or_management,misc,5b92175842349e7f3ca775866afa90c9902fec4d,,,,,,,,,,,,,
executive_or_management,nonprofit_ngo,14c7f7385db605fb8d1c311fe3f6cb804846bce7,,,,,,,,,,,,,
Unknown,Unknown,7be0700aa0916c42d8d8599c3b52a41ad1bcf861,,,,,,,,,,,,,
misc,tech,8484e42c7b000b839d38887adc8d6b4f96dc7bdd,,,,,,,,,,,,,
executive_or_management,education,019ab45f0a4eb57600acee58a3f25e38070bd324,,,,,,,,,,,,,
engineer,education,c3bf4441e89b42815203dc465f75c65fca814b2f,,,,,,,,,,,,,
marketing_sales,tech,a3b2ae9ff9a9e39ed59b6d26c23273c5e9574d8d,,,,,,,,,,,,,
engineer,supplychain_manufacturing,b6a2b1ad26b77e46af82f04470073ca1e01ca8d6,,,,,,,,,,,,,
executive_or_management,consulting,f252d86b2e1755a17a7311b2c1953985eb49fb39,,,,,,,,,,,,,
engineer,Unknown,54dc88cffbdb28a311b0e61aa98fea3c9eccb932,,,,,,,,,,,,,
executive_or_management,consulting,87874719d74c9b9e3b936f1df92d3f796a86eedb,,,,,,,,,,,,,
engineer,tech,62e2e51e6097f8bff1143822460703a55e9262a0,,,,,,,,,,,,,
misc,misc,5366279d530c6f4c5157a69c05c6e4f07bdbe0aa,,,,,,,,,,,,,
operations_supplychain,supplychain_manufacturing,f1cc8b6898d8da7a3cef0ed2247dc10e7a2b7d71,,,,,,,,,,,,,
executive_or_management,nonprofit_ngo,72c2c5f780cc44cd067a6218e3d914236b52820f,,,,,,,,,,,,,
engineer,tech,c227e5e585e50c509637641f8d432b7be4844307,,,,,,,,,,,,,
misc,tech,81d48143cb6d1baac5630c81fa7f0348350d09b0,,,,,,,,,,,,,
executive_or_management,misc,b346c288e3854b23329c51565d1b385619401a98,,,,,,,,,,,,,
operations_supplychain,tech,461413d72115c79fe50f08ad1ec74cce68552a72,,,,,,,,,,,,,
executive_or_management,tech,ef69325289a8755941f955d9450cb13a30a7982b,,,,,,,,,,,,,
executive_or_management,consulting,d71eb75b6f36e11f43b23e605a0c79719d642b2e,,,,,,,,,,,,,
engineer,tech,df0b391078f9ffa4ebb7aeb745e50dd4487784e3,,,,,,,,,,,,,
engineer,finance,bf02016c27584780c783286e44ae7b1b5415b490,,,,,,,,,,,,,
misc,misc,12cc43efa30f886a82cf5cd2f8f4e1f3e18a0e23,,,,,,,,,,,,,
marketing_sales,misc,3a003731d1341ad1d8c49d37c12ec9c40533f5a7,,,,,,,,,,,,,
misc,government,bae7896bae6d93a358123e22f56bc05d5f26b36a,,,,,,,,,,,,,
legal,tech,09769a59136bf9b7e6e014faac4f6be5761fc946,,,,,,,,,,,,,
marketing_sales,tech,b011c433cc4b494a3bf0c6234cdb78c1361072bb,,,,,,,,,,,,,
misc,tech,aadd433950701e240a0e484d372eeebff619710e,,,,,,,,,,,,,
engineer,tech,b6b9c8d88e736593ea64b43b54d89b1e87848ea8,,,,,,,,,,,,,
